transaction_id,transaction_date,store_id,product_id,quantity,unit_price,discount_amount,total_amount
145,2024-05-24,3,9,2,28.54,2.97,54.11
146,2022-06-02,6,75,2,12.48,1.44,23.52
147,2022-04-13,13,4,5,45.62,8.08,220.02
148,2022-10-19,3,75,4,12.48,2.43,47.49
149,2022-04-23,14,73,3,30.23,5.46,85.23
150,2022-09-24,20,13,1,6.61,0.26,6.35
151,2022-08-23,1,42,1,40.99,7.8,33.19
152,2024-11-30,18,35,3,16.15,2.9,45.55
153,2023-11-11,17,12,3,11.01,1.79,31.24
154,2024-10-08,7,69,4,13.27,0.38,52.7
155,2022-02-24,17,3,4,19.01,2.85,73.19
156,2024-02-06,19,47,4,48.84,4.64,190.72
157,2024-07-20,4,18,1,40.16,5.3,34.86
158,2024-12-14,14,34,1,10.95,0.18,10.77
159,2024-08-06,17,11,4,10.43,0.48,41.24
160,2024-02-17,18,46,1,30.48,5.85,24.63
161,2023-04-18,3,37,4,9.32,1.3,35.98
162,2022-07-28,11,40,2,10.11,0.78,19.44
163,2023-04-27,5,6,3,34.57,5.44,98.27
164,2024-10-21,10,69,4,13.27,2.46,50.62
165,2022-04-12,7,58,3,20.63,2.89,59.0
166,2022-10-14,19,35,5,16.15,1.04,79.71
167,2024-12-29,3,66,2,23.76,2.07,45.45
168,2023-07-27,13,12,2,11.01,0.62,21.4
169,2023-02-19,5,17,5,45.83,0.67,228.48
170,2024-11-22,11,68,1,18.44,0.87,17.57
171,2024-03-29,7,34,2,10.95,0.92,20.98
172,2023-12-29,12,41,3,15.61,2.67,44.16
173,2022-12-20,16,56,4,21.49,2.41,83.55
174,2022-09-25,19,50,1,13.06,1.87,11.19
175,2024-10-22,2,25,4,18.58,2.48,71.84
176,2024-04-02,16,94,5,17.23,0.74,85.41
177,2022-01-17,3,7,2,11.62,0.38,22.86
178,2023-10-31,8,53,5,30.62,5.22,147.88
179,2024-08-16,4,40,3,10.11,1.4,28.93
180,2023-08-18,1,38,5,6.34,0.14,31.56
181,2022-07-10,3,60,2,8.24,1.09,15.39
182,2023-03-11,4,10,2,26.45,3.18,49.72
183,2023-06-23,9,73,1,30.23,4.32,25.91
184,2024-01-08,18,66,3,23.76,1.65,69.63
185,2024-05-11,5,2,5,22.76,1.5,112.3
186,2023-02-25,6,61,2,39.42,5.01,73.83
187,2024-10-22,16,25,4,18.58,1.2,73.12
188,2022-12-28,12,32,3,43.56,3.46,127.22
189,2023-01-08,12,95,4,24.14,0.13,96.43
190,2024-03-11,5,28,5,49.38,3.1,243.8
191,2023-03-18,15,89,4,46.9,3.88,183.72
192,2023-05-10,4,50,3,13.06,2.24,36.94
193,2023-01-14,20,27,4,29.45,5.65,112.15
194,2022-07-11,1,96,2,20.44,3.81,37.07
195,2022-04-12,4,41,4,15.61,0.54,61.9
196,2024-11-06,13,64,2,16.52,2.31,30.73
197,2022-07-21,8,15,2,13.72,2.71,24.73
198,2022-07-08,9,32,3,43.56,2.47,128.21
199,2024-09-03,5,10,4,26.45,2.47,103.33
200,2023-11-10,6,47,4,48.84,5.36,190.0
201,2023-04-13,1,17,4,45.83,6.93,176.39
202,2023-11-11,12,81,4,32.97,5.64,126.24
203,2024-03-22,14,88,5,49.12,8.79,236.81
204,2022-07-17,17,52,1,27.47,0.98,26.49
205,2023-12-17,2,90,5,25.24,0.46,125.74
206,2024-08-09,6,28,2,49.38,2.71,96.05
207,2024-07-30,7,77,4,34.42,3.55,134.13
208,2024-08-14,12,94,1,17.23,1.3,15.93
209,2024-09-21,18,9,4,28.54,1.93,112.23
210,2024-03-25,16,8,3,21.65,0.78,64.17
211,2024-06-21,1,98,1,10.82,0.24,10.58
212,2024-03-08,7,40,5,10.11,0.34,50.21
213,2024-10-28,13,3,3,19.01,3.1,53.93
214,2024-12-27,3,44,4,11.45,1.45,44.35
215,2022-03-29,18,35,2,16.15,1.46,30.84
216,2024-05-22,2,49,4,16.75,1.37,65.63
217,2022-01-05,13,76,3,25.58,0.93,75.81
218,2022-12-24,17,64,4,16.52,1.16,64.92
219,2024-05-07,6,43,1,33.23,3.29,29.94
220,2023-06-09,8,86,2,8.61,1.05,16.17
221,2023-09-10,3,38,4,6.34,0.02,25.34
222,2023-12-14,12,27,2,29.45,3.83,55.07
223,2023-06-02,19,49,5,16.75,2.26,81.49
224,2023-06-09,13,49,2,16.75,2.24,31.26
225,2023-11-15,16,43,3,33.23,4.87,94.82
226,2024-10-19,18,29,4,35.56,4.2,138.04
227,2022-11-11,6,62,4,25.71,0.7,102.14
228,2023-06-07,7,89,5,46.9,8.73,225.77
229,2024-02-14,17,17,5,45.83,5.5,223.65
230,2022-06-28,13,9,5,28.54,0.66,142.04
231,2024-10-25,10,22,3,33.49,2.25,98.22
232,2022-01-24,3,54,4,15.05,2.71,57.49
233,2023-10-06,4,14,2,14.09,1.54,26.64
234,2022-11-16,3,75,5,12.48,0.52,61.88
235,2023-12-07,16,37,5,9.32,0.91,45.69
236,2023-02-07,2,9,5,28.54,0.77,141.93
237,2022-11-07,18,29,3,35.56,3.54,103.14
238,2022-02-14,6,28,5,49.38,2.55,244.35
239,2022-04-22,14,57,3,39.74,1.45,117.77
240,2024-08-24,18,24,1,46.96,5.7,41.26
241,2022-08-11,4,99,3,27.38,2.01,80.13
242,2022-01-03,12,15,3,13.72,2.18,38.98
243,2022-01-05,11,33,2,15.15,0.21,30.09
244,2023-02-06,5,2,5,22.76,0.33,113.47
245,2023-04-28,9,24,4,46.96,8.75,179.09
246,2022-04-17,8,29,1,35.56,6.17,29.39
247,2022-11-26,5,53,4,30.62,2.08,120.4
248,2024-01-18,11,73,2,30.23,4.53,55.93
249,2023-01-22,18,78,5,6.94,0.13,34.57
250,2023-05-13,14,39,2,32.78,0.72,64.84
251,2022-12-01,12,51,3,19.53,3.51,55.08
252,2022-10-26,13,72,5,5.33,0.04,26.61
253,2024-03-02,3,13,3,6.61,0.48,19.35
254,2022-02-11,6,65,5,45.47,2.41,224.94
255,2023-06-02,20,97,2,12.08,2.39,21.77
256,2022-07-31,9,36,3,38.04,2.82,111.3
257,2023-09-09,9,97,4,12.08,1.15,47.17
258,2023-07-30,16,53,5,30.62,3.72,149.38
259,2024-02-24,15,94,5,17.23,1.68,84.47
260,2024-12-01,5,58,4,20.63,2.33,80.19
261,2022-12-14,20,7,3,11.62,1.78,33.08
262,2023-08-01,4,53,2,30.62,4.85,56.39
263,2023-04-28,8,24,1,46.96,5.85,41.11
264,2023-11-15,19,27,1,29.45,2.17,27.28
265,2024-12-02,10,76,3,25.58,2.13,74.61
266,2022-09-07,4,73,5,30.23,5.53,145.62
267,2022-12-12,8,91,4,18.04,0.88,71.28
268,2024-08-24,4,88,4,49.12,4.68,191.8
269,2022-01-15,12,61,2,39.42,5.74,73.1
270,2023-01-22,6,7,2,11.62,0.66,22.58
271,2023-09-03,10,3,1,19.01,1.8,17.21
272,2024-07-03,8,75,5,12.48,1.69,60.71
273,2023-01-14,3,96,2,20.44,0.31,40.57
274,2022-07-13,19,57,1,39.74,7.6,32.14
275,2024-02-05,6,42,5,40.99,5.15,199.8
276,2023-01-04,16,71,4,16.02,0.01,64.07
277,2022-06-26,2,60,2,8.24,1.32,15.16
278,2023-11-08,7,59,3,41.33,6.07,117.92
279,2024-03-11,18,97,1,12.08,1.19,10.89
280,2022-10-18,15,69,3,13.27,1.25,38.56
281,2022-10-05,6,23,5,25.88,4.33,125.07
282,2022-11-26,17,29,5,35.56,6.02,171.78
283,2023-12-28,6,64,3,16.52,2.96,46.6
284,2024-02-05,15,83,2,31.31,6.07,56.55
285,2024-02-05,4,96,1,20.44,3.53,16.91
286,2023-09-15,8,28,1,49.38,1.39,47.99
287,2023-03-29,16,99,4,27.38,3.36,106.16
288,2023-09-27,8,87,2,9.08,0.78,17.38
289,2022-03-29,20,23,3,25.88,1.3,76.34
290,2023-09-30,12,48,5,11.99,0.65,59.3
291,2023-05-19,4,28,5,49.38,5.67,241.23
292,2022-04-16,6,71,2,16.02,2.47,29.57
293,2022-02-22,3,17,2,45.83,9.0,82.66
294,2023-09-04,6,43,4,33.23,3.43,129.49
295,2023-04-25,5,64,1,16.52,2.85,13.67
296,2023-11-13,11,3,1,19.01,0.59,18.42
297,2022-01-23,15,28,3,49.38,8.32,139.82
298,2022-08-15,2,37,1,9.32,1.82,7.5
299,2023-01-10,16,68,2,18.44,2.55,34.33
300,2024-08-28,13,61,5,39.42,5.86,191.24
301,2022-07-07,7,32,5,43.56,6.44,211.36
302,2024-03-26,10,94,2,17.23,1.98,32.48
303,2024-11-09,1,11,4,10.43,0.4,41.32
304,2022-06-11,1,22,1,33.49,0.71,32.78
305,2024-09-23,5,61,5,39.42,4.16,192.94
306,2024-05-26,19,79,1,34.86,6.15,28.71
307,2024-05-31,13,61,1,39.42,5.93,33.49
308,2022-09-05,2,79,4,34.86,2.34,137.1
309,2022-01-13,9,10,1,26.45,1.36,25.09
310,2022-04-19,7,16,4,28.18,4.54,108.18
311,2024-02-05,19,45,3,24.28,2.19,70.65
312,2022-04-12,6,92,5,43.72,0.34,218.26
313,2022-09-06,12,27,2,29.45,2.66,56.24
314,2023-07-12,14,42,5,40.99,1.09,203.86
315,2024-10-22,9,42,1,40.99,4.63,36.36
316,2022-03-31,3,8,2,21.65,0.14,43.16
317,2023-03-09,3,13,3,6.61,0.04,19.79
318,2022-04-04,7,84,4,45.57,7.41,174.87
319,2022-11-14,13,85,2,33.9,2.14,65.66
320,2022-05-14,1,1,1,42.31,6.42,35.89
321,2022-07-17,17,85,4,33.9,6.54,129.06
322,2024-08-18,7,14,3,14.09,0.47,41.8
323,2023-06-01,12,18,2,40.16,0.37,79.95
324,2023-08-11,8,96,4,20.44,0.12,81.64
325,2023-07-27,8,37,2,9.32,0.18,18.46
326,2024-01-13,18,1,4,42.31,5.04,164.2
327,2023-04-01,7,51,5,19.53,2.96,94.69
328,2022-04-28,5,80,4,47.94,2.45,189.31
329,2024-10-06,4,97,5,12.08,0.83,59.57
330,2023-06-28,1,3,2,19.01,0.91,37.11
331,2023-06-28,3,2,2,22.76,0.77,44.75
332,2024-05-10,5,2,3,22.76,3.04,65.24
333,2024-10-22,20,67,2,33.78,4.41,63.15
334,2023-01-26,2,17,1,45.83,6.39,39.44
335,2022-01-27,10,21,3,6.97,0.56,20.35
336,2022-10-23,20,42,1,40.99,3.02,37.97
337,2024-12-09,11,99,3,27.38,3.39,78.75
338,2024-04-10,10,13,2,6.61,1.17,12.05
339,2022-05-10,1,44,2,11.45,0.49,22.41
340,2023-12-04,6,39,4,32.78,3.27,127.85
341,2023-04-13,20,73,3,30.23,3.26,87.43
342,2024-07-15,3,30,1,10.63,1.06,9.57
343,2022-09-08,1,62,1,25.71,4.97,20.74
344,2022-07-23,17,42,2,40.99,5.1,76.88
345,2022-07-26,8,53,2,30.62,2.33,58.91
346,2024-04-18,7,18,2,40.16,7.64,72.68
347,2024-10-29,8,56,5,21.49,2.05,105.4
348,2022-09-10,7,68,5,18.44,0.51,91.69
349,2023-12-11,6,63,3,20.15,1.68,58.77
350,2022-05-24,9,77,4,34.42,2.54,135.14
351,2022-08-21,17,50,4,13.06,1.57,50.67
352,2023-04-14,18,74,4,43.36,0.25,173.19
353,2022-01-30,14,60,2,8.24,1.62,14.86
354,2024-11-25,16,72,5,5.33,0.27,26.38
355,2022-08-28,14,63,1,20.15,3.76,16.39
356,2022-08-07,7,35,1,16.15,2.34,13.81
357,2022-04-26,13,70,5,35.53,2.55,175.1
358,2024-03-20,3,58,5,20.63,2.12,101.03
359,2023-11-13,10,60,1,8.24,0.71,7.53
360,2023-12-10,3,93,1,6.45,0.5,5.95
361,2022-03-29,20,33,3,15.15,1.34,44.11
362,2022-08-31,12,62,5,25.71,3.98,124.57
363,2023-11-24,4,7,3,11.62,1.47,33.39
364,2023-05-31,8,91,4,18.04,1.58,70.58
365,2022-12-06,18,43,4,33.23,1.29,131.63
366,2022-04-06,14,69,5,13.27,1.25,65.1
367,2023-09-01,9,66,3,23.76,3.8,67.48
368,2023-08-07,2,74,2,43.36,3.09,83.63
369,2024-09-19,19,52,2,27.47,3.65,51.29
370,2022-02-10,16,78,4,6.94,1.19,26.57
371,2023-04-06,14,77,2,34.42,1.33,67.51
372,2024-10-23,11,24,2,46.96,0.22,93.7
373,2023-09-18,18,37,2,9.32,0.01,18.63
374,2024-01-08,20,52,1,27.47,2.42,25.05
375,2022-11-19,4,69,1,13.27,0.48,12.79
376,2022-07-18,5,25,4,18.58,1.01,73.31
377,2022-07-04,17,84,3,45.57,7.06,129.65
378,2023-03-30,9,84,1,45.57,7.21,38.36
379,2023-02-09,14,19,1,48.57,6.68,41.89
380,2022-09-20,7,38,5,6.34,0.11,31.59
381,2024-02-08,15,68,2,18.44,0.67,36.21
382,2024-08-12,14,33,5,15.15,0.63,75.12
383,2024-12-07,2,70,5,35.53,3.24,174.41
384,2023-06-22,20,98,5,10.82,1.48,52.62
385,2022-04-14,16,83,4,31.31,6.03,119.21
386,2023-06-25,1,92,5,43.72,6.97,211.63
387,2022-08-15,12,96,3,20.44,3.38,57.94
388,2023-03-02,19,69,5,13.27,2.33,64.02
389,2022-02-18,2,24,2,46.96,7.52,86.4
390,2023-11-12,14,26,4,13.84,2.42,52.94
391,2024-05-14,3,76,4,25.58,2.48,99.84
392,2024-04-14,17,20,4,9.69,1.91,36.85
393,2022-07-16,18,96,5,20.44,3.22,98.98
394,2024-09-14,20,9,1,28.54,0.47,28.07
395,2024-09-09,10,17,2,45.83,6.2,85.46
396,2023-12-04,18,60,5,8.24,0.16,41.04
397,2022-11-04,2,59,1,41.33,6.98,34.35
398,2022-09-27,12,42,1,40.99,3.27,37.72
399,2023-11-11,19,35,5,16.15,1.31,79.44
400,2023-09-05,9,12,2,11.01,1.47,20.55
401,2022-06-22,6,69,5,13.27,1.29,65.06
402,2022-09-17,15,26,1,13.84,0.68,13.16
403,2023-04-14,14,82,2,30.89,3.12,58.66
404,2023-01-13,2,20,1,9.69,0.46,9.23
405,2023-01-21,5,95,5,24.14,2.8,117.9
406,2022-05-29,8,24,1,46.96,3.96,43.0
407,2024-02-02,15,58,2,20.63,1.88,39.38
408,2024-06-09,5,67,5,33.78,5.05,163.85
409,2024-12-15,16,54,2,15.05,2.13,27.97
410,2023-01-26,18,57,5,39.74,7.69,191.01
411,2023-12-13,11,32,4,43.56,0.25,173.99
412,2023-07-13,17,54,2,15.05,3.0,27.1
413,2024-04-19,2,9,3,28.54,0.08,85.54
414,2022-05-16,4,32,2,43.56,3.05,84.07
415,2022-03-09,11,27,5,29.45,1.77,145.48
416,2024-05-14,16,19,2,48.57,1.9,95.24
417,2022-05-22,20,98,2,10.82,2.04,19.6
418,2022-08-09,20,15,1,13.72,0.26,13.46
419,2023-01-05,6,8,5,21.65,0.52,107.73
420,2023-06-03,3,79,4,34.86,6.61,132.83
421,2023-04-11,8,32,2,43.56,5.46,81.66
422,2022-12-26,8,29,2,35.56,0.41,70.71
423,2023-07-13,7,21,4,6.97,0.5,27.38
424,2024-06-23,14,89,3,46.9,0.76,139.94
425,2022-01-28,13,93,1,6.45,1.05,5.4
426,2024-02-09,15,62,1,25.71,3.97,21.74
427,2024-11-20,1,34,3,10.95,1.63,31.22
428,2022-04-15,16,85,4,33.9,3.88,131.72
429,2024-10-15,5,14,4,14.09,1.16,55.2
430,2022-01-19,18,27,2,29.45,3.28,55.62
431,2024-06-19,15,15,2,13.72,2.58,24.86
432,2022-05-30,8,3,2,19.01,1.51,36.51
433,2022-08-03,2,63,4,20.15,3.85,76.75
434,2022-03-25,6,23,3,25.88,2.09,75.55
435,2023-04-22,3,24,1,46.96,7.08,39.88
436,2024-12-29,16,86,1,8.61,1.04,7.57
437,2022-12-07,8,14,5,14.09,1.98,68.47
438,2023-03-09,5,17,1,45.83,4.64,41.19
439,2023-08-04,14,2,2,22.76,1.25,44.27
440,2022-04-14,7,87,5,9.08,0.06,45.34
441,2022-03-24,13,5,3,18.65,0.38,55.57
442,2024-11-11,13,39,2,32.78,3.53,62.03
443,2022-09-15,11,84,2,45.57,7.55,83.59
444,2024-10-19,7,26,2,13.84,2.16,25.52
445,2022-09-08,14,19,3,48.57,1.6,144.11
446,2024-06-08,9,69,4,13.27,0.03,53.05
447,2022-02-21,20,24,2,46.96,2.94,90.98
448,2023-01-30,11,37,1,9.32,0.21,9.11
449,2023-11-01,17,76,1,25.58,1.57,24.01
450,2022-03-09,4,4,3,45.62,2.19,134.67
451,2024-04-26,19,1,3,42.31,3.84,123.09
452,2022-09-22,20,10,4,26.45,3.94,101.86
453,2022-07-26,16,37,5,9.32,0.78,45.82
454,2022-12-16,5,2,4,22.76,0.39,90.65
455,2023-05-18,7,63,4,20.15,2.91,77.69
456,2024-03-12,15,36,3,38.04,5.95,108.17
457,2023-01-28,19,28,4,49.38,5.84,191.68
458,2023-12-22,4,56,5,21.49,3.18,104.27
459,2023-12-15,10,54,5,15.05,2.96,72.29
460,2024-04-01,10,33,3,15.15,2.12,43.33
461,2024-04-20,4,45,2,24.28,2.58,45.98
462,2023-04-18,7,85,5,33.9,0.25,169.25
463,2022-05-16,13,65,3,45.47,3.23,133.18
464,2023-07-04,7,96,4,20.44,1.7,80.06
465,2022-06-23,4,61,2,39.42,1.16,77.68
466,2023-07-01,17,63,3,20.15,2.09,58.36
467,2022-10-05,2,53,1,30.62,4.52,26.1
468,2023-12-16,4,22,5,33.49,1.49,165.96
469,2023-10-26,19,1,3,42.31,6.64,120.29
470,2024-10-13,12,93,4,6.45,0.66,25.14
471,2023-02-04,2,83,3,31.31,3.54,90.39
472,2024-05-16,11,13,3,6.61,0.27,19.56
473,2024-03-25,10,3,4,19.01,3.06,72.98
474,2023-03-25,2,59,1,41.33,4.37,36.96
475,2023-05-24,8,13,2,6.61,0.88,12.34
476,2022-03-17,7,16,4,28.18,1.53,111.19
477,2022-10-28,11,50,5,13.06,0.26,65.04
478,2024-01-17,2,19,5,48.57,2.81,240.04
479,2023-09-18,11,45,4,24.28,2.25,94.87
480,2022-07-14,14,47,2,48.84,0.41,97.27
481,2023-04-11,4,56,3,21.49,0.35,64.12
482,2022-09-11,1,14,3,14.09,1.84,40.43
483,2022-02-28,3,34,1,10.95,0.11,10.84
484,2023-01-18,17,24,1,46.96,4.02,42.94
485,2024-08-01,3,71,5,16.02,0.96,79.14
486,2024-07-05,4,74,2,43.36,7.54,79.18
487,2024-09-23,16,95,2,24.14,2.51,45.77
488,2024-02-29,5,43,4,33.23,3.96,128.96
489,2023-07-03,10,16,4,28.18,1.61,111.11
490,2023-06-04,18,63,5,20.15,2.05,98.7
491,2022-06-27,16,34,5,10.95,1.84,52.91
492,2023-08-14,18,48,1,11.99,2.15,9.84
493,2022-05-31,8,82,5,30.89,3.95,150.5
494,2022-09-15,1,8,3,21.65,1.65,63.3
495,2022-03-27,1,100,5,25.19,2.51,123.44
496,2023-05-10,16,40,1,10.11,0.39,9.72
497,2024-01-25,11,50,3,13.06,1.1,38.08
498,2024-12-12,4,21,4,6.97,1.18,26.7
499,2022-05-23,4,24,5,46.96,0.19,234.61
500,2024-11-07,14,62,3,25.71,2.32,74.81
501,2022-11-04,7,9,2,28.54,3.62,53.46
502,2024-10-19,7,57,2,39.74,0.91,78.57
503,2022-11-20,15,53,4,30.62,4.21,118.27
504,2024-05-27,14,53,1,30.62,5.73,24.89
505,2024-12-26,8,45,3,24.28,3.85,68.99
506,2023-10-27,15,85,4,33.9,2.99,132.61
507,2022-07-15,18,56,2,21.49,2.13,40.85
508,2023-07-14,2,73,5,30.23,2.33,148.82
509,2023-01-28,19,66,1,23.76,2.85,20.91
510,2023-12-16,20,94,4,17.23,0.11,68.81
511,2023-08-23,13,82,4,30.89,2.74,120.82
512,2024-11-23,16,36,5,38.04,4.53,185.67
513,2024-05-20,8,60,2,8.24,0.46,16.02
514,2024-09-06,15,92,4,43.72,5.05,169.83
515,2024-09-14,14,36,1,38.04,7.41,30.63
